Action ID,Deal Type,Announce Date,Target Ticker,Acquirer Ticker,Deal Status,Deal Attributes,Deal Description,Currency of Deal,Payment Type,Completion/Termination Date,Percent Owned,Percent Sought,Has Contingency Payment,Target Industry Sector,Acquirer Industry Sector,Adviser Fees Disclosed,Nature of Bid,Target Country/Region,Acquirer Country/Region,Target Security Description,Acquirer Security Description,Target Security Type,Acquirer Security Type,Financials Fiscal Year (as-at),Target Total Assets,Target Revenue,Acquirer Total Assets,Acquirer Revenue,Announced Total Value (mil.),Financial Variables Present (of 4),Target Limb Driver,Regime No.,Regime Start,Regime End,Intermediate Combined (R'm),Intermediate Target (R'm),Large Combined (R'm),Large Target (R'm),CPI Index (Dec 2024=100),CPI YoY %,Nominal GDP (R million),"Real GDP (R million, 2015 prices)","GDP Deflator (Index, 2015=100)",GDP Deflator YoY %,Market Capitalisation (R million),"Combined Limb Value (best of 4 routes, R'm)","Target Limb Value (max of assets/turnover, R'm)",Classification,Data Completeness,Year
227171034,M&A,2021/7/15,LBH SJ,SBK SJ,Completed,"Company Takeover, Additional Stake Purchase",Standard Bank Group Ltd acquired Liberty Holdings Ltd for ZAR 10369.14M. The transaction was announced on 7/15/2021 and completed on 3/1/2022.,ZAR,Cash and Stock,2022/3/1,53.619999,46.380001,No,Financials,Financials,N,Friendly,South Africa,South Africa,LBH,SBK,Common Stock,Common Stock,2020,475598,55115,2532940,159648,10369.09,4,Both,4,2017-10-01,2026-04-30,600,100,6600,190,84.0166666666667,4.55833333333333,6206842.1,4509870.3,137.627951296072,6.40844281790467,20520438.0,3008538.0,475598.0,Large,Full (4/4),2021
227769993,M&A,2021/9/13,251463Z LN,CSN LN,Completed,"Company Takeover, Cross Border",Sanlam Ltd sold Sanlam Life & Pensions UK Ltd to Chesnara PLC for GBP 39.00M. The transaction was announced on 9/13/2021 and completed on 4/28/2022.,GBP,Cash,2022/4/28,0.000000,100.000000,No,Financials,Financials,N,Friendly,South Africa,United Kingdom,251463Z,CSN,Private Comp,Common Stock,2020,2965.6677326322497,209.98192846085968,9065.496,637.905,764.20,4,Both,4,2017-10-01,2026-04-30,600,100,6600,190,84.0166666666667,4.55833333333333,6206842.1,4509870.3,137.627951296072,6.40844281790467,20520438.0,12031.163732632249,2965.6677326322497,Large,Full (4/4),2021
228200844,M&A,2021/10/27,RBP SJ,IMP SJ,Completed,"Company Takeover, Tender Offer, Mandatory Offer, Squeeze Out, Going Private",Impala Platinum Holdings Ltd acquired Royal Bafokeng Platinum Ltd for ZAR 39175.61M. The transaction was announced on 10/27/2021 and completed on 9/18/2023.,ZAR,Cash and Stock,2023/9/18,0.000000,100.000000,No,Materials,Materials,N,Unsolicited,South Africa,South Africa,RBP,IMP,Common Stock,Common Stock,2020,31944.4,13379.4,95855,69851,39175.60,4,Both,4,2017-10-01,2026-04-30,600,100,6600,190,84.0166666666667,4.55833333333333,6206842.1,4509870.3,137.627951296072,6.40844281790467,20520438.0,127799.4,31944.4,Large,Full (4/4),2021
228303895,M&A,2021/12/5,L4L SJ,OMU SJ,Withdrawn,Company Takeover,Old Mutual Ltd announced the acquisition of Long4Life Ltd for ZAR 4329.87M.,ZAR,Cash,2022/6/6,0.000000,100.000000,No,Consumer Discretionary,Financials,N,Hostile to Friendly,South Africa,South Africa,L4L,OMU,Common Stock,Common Stock,2020,6263.253,4091.446,940682,142606,4329.90,4,Both,4,2017-10-01,2026-04-30,600,100,6600,190,84.0166666666667,4.55833333333333,6206842.1,4509870.3,137.627951296072,6.40844281790467,20520438.0,946945.253,6263.253,Large,Full (4/4),2021
228327630,M&A,2021/11/8,TKG SJ,MTN SJ,Withdrawn,Company Takeover,MTN Group Ltd announced the acquisition of Telkom SA SOC Ltd for ZAR 41075.85M.,ZAR,Cash and Stock,2022/10/19,0.000000,100.000000,No,Communications,Communications,N,Unsolicited,South Africa,South Africa,TKG,MTN,Common Stock,Common Stock,2020,61386,43043,348942,179361,41075.66,4,Both,4,2017-10-01,2026-04-30,600,100,6600,190,84.0166666666667,4.55833333333333,6206842.1,4509870.3,137.627951296072,6.40844281790467,20520438.0,410328.0,61386.0,Large,Full (4/4),2021
228340503,INV,2021/11/9,RBP SJ,NPH SJ,Completed,Minority Purchase,Royal Bafokeng Holdings Pty Ltd sold a minority stake in Royal Bafokeng Platinum Ltd to Northam Platinum Holdings Ltd. The transaction was announced on 11/9/2021 and completed on 12/22/2021.,ZAR,Cash and Stock,2021/12/22,0.000000,32.799999,No,Materials,Materials,N,Friendly,South Africa,South Africa,RBP,NPH,Common Stock,Common Stock,2020,31944.4,13379.4,30667.505,17811.971,16597.89,4,Both,4,2017-10-01,2026-04-30,600,100,6600,190,84.0166666666667,4.55833333333333,6206842.1,4509870.3,137.627951296072,6.40844281790467,20520438.0,62611.905,31944.4,Large,Full (4/4),2021
228368383,M&A,2021/11/8,CSG SJ,AIL SJ,Completed,"Additional Stake Purchase, Company Takeover",African Rainbow Capital Investments Ltd acquired CSG Holdings Ltd/South Africa for ZAR 138.17M. The transaction was announced on 11/8/2021 and completed on 4/26/2022.,ZAR,Cash,2022/4/26,24.802246,75.197754,No,Industrials,Financials,N,Unsolicited,South Africa,South Africa,CSG,AIL,Common Stock,Common Stock,2020,752.287,1751.275,10002,130,138.17,4,Both,4,2017-10-01,2026-04-30,600,100,6600,190,84.0166666666667,4.55833333333333,6206842.1,4509870.3,137.627951296072,6.40844281790467,20520438.0,11753.275,1751.275,Large,Full (4/4),2021
228422582,M&A,2021/11/17,HPA SJ,TSG SJ,Completed,"Company Takeover, Additional Stake Purchase",Tsogo Sun Limited acquired Hospitality Property Fund Ltd. The transaction was announced on 11/17/2021 and completed on 2/2/2021. Financial terms of the transaction are undisclosed.,ZAR,Undisclosed,2021/2/2,67.129997,32.869999,No,Real Estate,Consumer Discretionary,N,Friendly,South Africa,South Africa,HPA,TSG,REIT,Common Stock,2020,10343.024,767.644,19003,11428,,4,Both,4,2017-10-01,2026-04-30,600,100,6600,190,84.0166666666667,4.55833333333333,6206842.1,4509870.3,137.627951296072,6.40844281790467,20520438.0,29346.023999999998,10343.024,Large,Full (4/4),2021
228447193,M&A,2021/11/19,AVI SJ,MDLZ US,Withdrawn,"Cross Border, Company Takeover",Mondelez International Inc announced the acquisition of AVI Ltd for ZAR 1724.60M.,ZAR,Undisclosed,2021/12/14,0.000000,100.000000,No,Consumer Staples,Consumer Staples,N,Unsolicited,South Africa,United States,AVI,MDLZ,Common Stock,Common Stock,2020,9768.7,13209.7,67810,26581,1724.59,4,Both,4,2017-10-01,2026-04-30,600,100,6600,190,84.0166666666667,4.55833333333333,6206842.1,4509870.3,137.627951296072,6.40844281790467,20520438.0,81019.7,13209.7,Large,Full (4/4),2021
228562668,INV,2021/12/1,GRSP SJ,ATIL MP,Completed,"Minority Purchase, Cross Border",Astoria Investments Ltd acquired a minority stake in Goldrush Holdings Ltd. The transaction was completed on 12/1/2021.,ZAR,Cash,2021/12/1,0.000000,14.800000,No,Financials,Financials,N,Friendly,South Africa,Mauritius,GRSP,ATIL,Preference,Common Stock,2020,1040.772295,1.572101,26.548199,3.904877,5.97,4,Assets only,4,2017-10-01,2026-04-30,600,100,6600,190,84.0166666666667,4.55833333333333,6206842.1,4509870.3,137.627951296072,6.40844281790467,20520438.0,1067.320494,1040.772295,Intermediate,Full (4/4),2021
