Deal Type,Announce Date,Target Name,Acquirer Name,Announced Total Value (mil.),Deal Status,Target Industry Sector,Acquirer Industry Sector,Target Sales/Revenue/Turnover,Acquirer Sales/Revenue/Turnover,Target Total Assets,Acquirer Total Assets
"M&A",2010/6/10,"Blue Financial Services Ltd","Mayibuye Group Pty Ltd",162.98,"Completed","Financials","Financials",553.082,,1426.64,
"AST",2015/3/25,"Nampak flexible unit","Amcor PLC",250.00,"Completed","N.A.","Materials",,397310,,608236
"AST",2001/6/6,"Aberdare Fiber Optic Cables","Corning Inc",169.63,"Completed","Technology","Technology",,279438,,513176
"INV",2021/6/16,"JME Financial Services Pty Ltd","Moore & Moore Rentals Inc,Growth Box Ventures Ltd",288.24,"Completed","Financials","Consumer Discretionary, Financials",,,,
"AST",2001/4/6,"Main Pipesystems","AG Petzetakis SA",169.00,"Completed","N.A.","Industrials",,863.236,,1359.7
"AST",2008/10/3,"Elsburg Tailings Complex","DRDGOLD Ltd",177.00,"Completed","N.A.","Materials",,7878.2,,12246
"M&A",2015/12/2,"MoreCorp/South Africa","Old Mutual Private Equity",300.00,"Completed","Consumer Discretionary","Financials",,,,
"M&A",2015/10/12,"Cape Lime Pty Ltd","Afrimat Ltd",276.00,"Completed","Materials","Materials",,10009,,9900.95
"M&A",2012/7/20,"Sable Platinum Holdings Pty Ltd","Sable Exploration and Mining L",172.16,"Completed","Materials","Financials",,,,20.5406
"INV",2011/8/3,"Continental Coal Ltd SA","Sishen Iron Ore Co Community Development Trust",140.00,"Completed","Materials","Financials",,,,
"AST",2003/11/13,"53 property letting businesses","Prima Property Trust",139.11,"Completed","N.A.","N.A.",,123.436,,887.838
"INV",1999/5/5,"Kimberly-Clark Southern Africa Holdings Pty Ltd","Lion Match Co Pty Ltd/The",126.00,"Completed","Consumer Staples","Consumer Staples",,245.982,,435.004
"INV",2000/8/28,"IQ Business Group Ltd","Nedbank Group Ltd",142.40,"Completed","Industrials","Financials",,164033,,1.55863e+06
"M&A",2008/5/26,"Roadcrete Africa Pty Ltd","Basil Read Holdings Ltd",157.80,"Completed","Industrials","Industrials",,4581.14,,2748.98
"M&A",2003/8/19,"Pleasure Foods Pty Ltd","Famous Brands Ltd",150.60,"Completed","Consumer Discretionary","Consumer Staples",,8744.2,,3574.8
"M&A",2005/5/25,"Springlake Holdings Pty Ltd","Petmin Ltd",132.95,"Completed","Materials","Materials",,1282.62,,2139.91
"M&A",2012/4/13,"Baoding Changcheng Vehicle AxLes Industries Co Ltd,Baoding Xinyuan Automobile Inner Decoration Co Ltd,Mind Electronics Co Ltd","Great Wall Motor Co Ltd",161.95,"Completed","Consumer Discretionary, Consumer Discretionary, Consumer Discretionary","Consumer Discretionary",,553742,,534022
"M&A",2005/7/4,"m Cubed Life Ltd","Fidentia Holdings Ltd",139.00,"Completed","Financials","Financials",,,,
"M&A",2009/3/20,"Diamonex Botswana Ltd","Robert Fleming Holdings Ltd",194.77,"Completed","Materials","Financials",,,,
"AST",1999/6/22,"Underlying assets","Capital Alliance Holdings Ltd",120.64,"Completed","N.A.","Financials",,,,
"M&A",2000/12/22,"Furniture and bedding business","Relyant Retail Ltd",152.00,"Completed","N.A.","Consumer Discretionary",,2061.18,,2347.61
"AST",2004/10/4,"Retail component of Golden Acre","Paramount Property Fund Ltd",130.00,"Completed","Real Estate","Real Estate",,,,
"M&A",2000/6/1,"Masterpack International Holdings","FrontRange Ltd",139.81,"Completed","N.A.","Technology",,409.482,,337.967
"M&A",2006/11/6,"Petrex Ppty Ltd","Unnamed Buyer",147.62,"Completed","Materials","N.A.",,,,
"INV",2023/8/10,"Upstream Energy","Private Investor",374.99,"Completed","Energy","N.A.",,,,
"INV",2023/4/12,"Citra Construction Pty Ltd","Private Investor",368.08,"Completed","Consumer Discretionary","N.A.",,,,
