Deal Type,Announce Date,Target Name,Acquirer Name,Announced Total Value (mil.),Deal Status,Target Industry Sector,Acquirer Industry Sector,Target Sales/Revenue/Turnover,Acquirer Sales/Revenue/Turnover,Target Total Assets,Acquirer Total Assets
"M&A",2014/11/7,"Crocodile River PGM Mine,Kennedy's Vale PGM Mine,Spitzkop PGM Deposit","Hebei Zhongbo Platinum Co Ltd",2535.86,"Pending","Materials, Materials, Materials","Materials",,,,
"INV",2016/5/25,"Goldrush Group Pty Ltd","Goldrush Holdings Ltd",3468.11,"Pending","Consumer Discretionary","Financials",,1932.48,,3012.47
"AST",2014/4/14,"Nashua subscriber base in South Africa","MTN Group Ltd,Vodacom Group Ltd",2259.99,"Pending","N.A.","Communications, Communications",,,,
"INV",2014/6/30,"Main Street 1254 Pty Ltd","Glacier Partners LP",2169.01,"Pending","Financials","Financials",,,,
"M&A",2021/9/20,"Sanlam Wealth Planning Holdings UK Ltd,Sanlam Pvt Investments UK Holdings Ltd","Oaktree Capital Management LP",2831.83,"Pending","Industrials, Financials","Financials",,,,
"INV",2017/3/14,"Niveus Invest 19 Ltd","Tsogo Sun Limited",2187.69,"Pending","Financials","Consumer Discretionary",,10841,,14695
"M&A",2014/11/3,"Continental Coal Ltd SA","Unnamed Buyer,LSP Energy Pty Ltd",1794.43,"Pending","Materials","Financials",,,,
"JV",2016/8/29,"Afhco Calgro M3 Consortium Pty Ltd","",2182.01,"Pending","Financials","Real Estate, Consumer Discretionary",,,,
"M&A",2026/4/2,"AfriSam Holdings Pty Ltd","West China Cement Ltd",2500.02,"Pending","Materials","Materials",,23909.7,,83523.4
"AST",2026/2/6,"Discovery phase 1/South Africa","Discovery Propco Proprietary Ltd",2317.51,"Pending","Real Estate","Real Estate",,,,
"M&A",2016/7/20,"Ceramic Industries Ltd","Italtile Ltd",2020.16,"Pending","Consumer Discretionary","Consumer Discretionary",1648.62,8876,1564.47,10362
"AST",2021/10/13,"Erf 1881 Witfontein Extension 89 Township","Equites Property Fund Ltd",2050.00,"Pending","Real Estate","Real Estate",,3153.59,,31400.3
"M&A",2020/10/30,"Texton Property Fund Ltd","Oak Tech Properties Proprietary Ltd,Oak Tech Trading Proprietary Ltd",2214.32,"Pending","Real Estate","Real Estate, Financials",278.371,,2473.35,
"INV",2024/8/30,"African Rainbow Capital Financial Services Holdings Pty Ltd","Sanlam Life Insurance Ltd",2413.00,"Pending","Financials","Financials",,228691,,1.27221e+06
"M&A",2023/11/1,"BEX Group Pty Ltd","Singapore Post Ltd",2485.78,"Pending","Financials","Industrials",,5061.29,,26960.3
"INV",2019/9/2,"Vox Telecom Ltd","Target Shareholders",2000.01,"Pending","Communications","N.A.",,,,
"M&A",2016/12/4,"Zendai Capital Pty Ltd,Zendai Development South Africa Pty Ltd,Zendai Investment Management South Africa Pty Ltd","JR 209 Investments Pty Ltd",1810.00,"Pending","Financials, Financials, Financials","Financials",,,,
"INV",2014/5/13,"Sunwest International Pty Ltd,Worcester Casino Pty Ltd","Tsogo Sun Limited",1350.00,"Pending","Consumer Discretionary, Consumer Discretionary","Consumer Discretionary",,10841,,14695
"M&A",2025/10/30,"10x Investments Pty Ltd","Old Mutual Ltd",2200.01,"Pending","Financials","Financials",,137675,,1.36792e+06
"INV",2022/5/4,"SAN JV RF Pty Ltd","Allianz SE",1998.42,"Pending","Financials","Financials",,2.27629e+06,,1.99149e+07
"M&A",2022/1/28,"enX Group Ltd","African Phoenix Investments Ltd,MCC Contracts Pty Ltd",1962.64,"Pending","Industrials","Financials, Industrials",378.355,,1554.24,
"AST",2018/10/9,"25 office assets & associated letting enterprises","Shankly Property Investments Pty Ltd",1802.33,"Pending","Real Estate","Financials",,,,
"M&A",2020/11/9,"Gruppo Investment Nigeria Ltd","AIH No 6 Ltd",1765.89,"Pending","Real Estate","Financials",,,,
"INV",2019/9/16,"Phuthuma Nathi Investments RF,Phuthuma Nathi Investments 2 RF Ltd","MultiChoice Group",1671.65,"Pending","Financials, Financials","Communications",,49980,,39244
"AST",2022/6/26,"Property Assets/RMH Property Holdings Pty Ltd","Brightbridge Real Estate Ltd",1750.00,"Pending","Real Estate","Real Estate",,,,
"M&A",2024/9/17,"Metair Aku Holding AS","Quexco Inc",1941.41,"Pending","Consumer Discretionary","Materials",,,,
"AST",2017/6/12,"Gauteng residential portfolio","Indluplace Properties Ltd",1400.00,"Pending","Real Estate","Real Estate",,583.693,,3524.46
"INV",2020/9/8,"WBC Holdings Pty Ltd","Nutun Ltd",1840.00,"Pending","Financials","Financials",26656.2,1500,5352.69,6604
"M&A",2018/3/19,"Akeso Clinics Pty Ltd","Netcare Ltd",1299.99,"Pending","Health Care","Health Care",,26344,,29225
"INV",2016/4/11,"Lesaka Technologies Inc","International Finance Corp",1583.44,"Pending","Financials","Government",11987.1,137587,11585.4,2.29932e+06
"AST",2017/6/20,"3 residential property portfolios","Indluplace Properties Ltd",1399.99,"Pending","Real Estate","Real Estate",,583.693,,3524.46
"INV",2016/9/28,"ArcelorMittal South Africa Ltd","Likamva Resources Pty Ltd",1425.29,"Pending","Materials","Financials",32291,,21126,
"INV",2019/9/30,"Mbuyelo Coal","Africa Coal Partners Ltd",1571.35,"Pending","Materials","Financials",,,,
"INV",2025/5/13,"Ntsimbintle Mining Proprietary Ltd","Exxaro Resources Ltd",1860.01,"Pending","Materials","Materials",,41771,,103210
"AST",2021/7/12,"Sodium Cyanide Unit/Sasol Ltd","Draslovka Holding AS",1459.99,"Pending","Materials","Materials",,,,
"AST",2024/1/10,"Block 2913B,Blocks 2912","TotalEnergies SE",1850.88,"Pending","Energy, Consumer Staples","Energy",,3.26021e+06,,4.82188e+06
"AST",2025/11/2,"Portfolio of clothing & homeware brands/Retailability Pty Ltd","Pepkor Holdings Ltd",1700.01,"Pending","Consumer Discretionary","Consumer Staples",,95340,,115035
"M&A",2017/11/22,"K2017449061 South Africa Pty Ltd","DRDGOLD Ltd",1313.20,"Pending","Materials","Materials",,7878.2,,12246
"M&A",2021/11/24,"Crossfin Technology Holdings Pty Ltd","Ethos Capital Partners LLC,African Rainbow Capital Pty Ltd",1500.01,"Pending","Financials","Financials, Financials",,,,
"INV",2018/9/18,"WBC Holdings Pty Ltd","Naspers Ltd",1400.00,"Pending","Financials","Communications",26656.2,188265,5352.69,1.35492e+06
"INV",2016/4/25,"Sunwest International Pty Ltd,Worcester Casino Pty Ltd","Tsogo Sun Limited",1350.01,"Pending","Consumer Discretionary, Consumer Discretionary","Consumer Discretionary",,10841,,14695
"M&A",2021/8/20,"Cambridge Food Pty Ltd,Mashfresh Meat,Rhino/South Africa","Shoprite Holdings Ltd",1399.99,"Pending","Consumer Staples, Consumer Staples, Consumer Staples","Consumer Staples",,256682,,124944
"M&A",2026/2/3,"Zaad Holdings Pty Ltd","Unnamed Buyer",1420.00,"Pending","Financials","N.A.",,,,
"AST",2015/12/3,"government property portfolio","Delta Property Fund Ltd",1255.84,"Pending","Real Estate","Real Estate",,1166.6,,6476.37
"M&A",2017/11/10,"Luxanio Trading 181 Pty Ltd","Dipula Properties Ltd",1249.99,"Pending","Real Estate","Real Estate",,1522.33,,11219.6
"AST",2026/2/18,"Portfolio of precious metals assets/Gold Fields Ltd","OR Royalties Inc",1349.20,"Pending","Materials","Materials",,4959.22,,25951.7
"M&A",2022/10/7,"GLOBAL CONNECTIVITY PLC","Tiger Infrastructure Partners LP",1507.92,"Pending","Communications","Financials",,,85.622,
"M&A",2014/6/30,"Main Street 1254 Pty Ltd","Glacier Partners LP",880.00,"Pending","Financials","Financials",,,,
"AST",2018/10/8,"1983 residential units","Transcend Residential Property Fund Ltd",1210.00,"Pending","Real Estate","Real Estate",,,,2310.88
"INV",2018/6/1,"African Reinsurance Corp South Africa Ltd","Allianz SE",1024.84,"Pending","Financials","Financials",,2.27629e+06,,1.99149e+07
"AST",2016/5/11,"Operational assets/South Africa","Vasari Global Ltd",1149.99,"Pending","Consumer Staples","Financials",,,,
"INV",2025/11/13,"Mulilo Renewable Energy Pty Ltd","Norfund AS",1274.89,"Pending","Energy","Financials",,,,
"M&A",2015/11/3,"Bobcat Equipment South Africa Pty Ltd,Goscor Cleaning Equipment Pty Ltd,Uvundlu Investments Pty Ltd,Bobcat Equipment Rental Pty Ltd","Management Group,Private Investor",1030.00,"Pending","Industrials, Financials, Industrials, Industrials","N.A.",,,,
"AST",2019/6/27,"Media Broadcast & Content Businesses/South Africa","Lebashe Investment Group Pty Ltd",1050.00,"Pending","Communications","Financials",,,,
"INV",2020/4/29,"Brait PLC","EPE Capital Partners Ltd,Ethos Private Equity Pty Ltd (Fund: Ethos Private Equity Fund VII)",1350.01,"Pending","Financials","Financials, Financials",1796,,15445,
"M&A",2015/2/16,"Parktown Crescent Properties Pty Ltd,Wanooka Properties Pty Ltd","Accelerate Property Fund Ltd",850.00,"Pending","Real Estate, Real Estate","Real Estate",,678.938,,6843.37
"M&A",2021/5/26,"Span Diagnostics SA Pty Ltd","Private Investor",1000.01,"Pending","Financials","N.A.",,,,
"AST",2020/12/18,"Steinhoff Africa properties","Pepkor Holdings Ltd",1049.99,"Pending","Real Estate","Consumer Staples",,95340,,115035
"INV",2022/3/18,"Alexander Forbes Group Holdings Ltd","Prudential Financial Inc,LeapFrog Investments Ltd",1066.34,"Pending","Financials","Financials, Financials",6518,,567786,
"M&A",2026/5/19,"Balwin Properties Ltd","Volker Holdings Pty Ltd",1145.54,"Pending","Real Estate","Financials",2727.7,,8437.59,
"M&A",2024/5/16,"Nampak Bevcan Nigeria Ltd","Alucan Investment Pte Ltd",1245.58,"Pending","Materials","Consumer Discretionary",,,,
"INV",2015/5/13,"Santam Ltd","Santam Ltd",800.85,"Pending","Financials","Financials",50952,50952,82392,82392
"AST",2018/12/3,"18 Rissik Street/Marshalls Town,124 Main Street/Marshalls Town","Aventro Properties Pty Ltd",894.60,"Pending","Real Estate, Real Estate","Real Estate",,,,
"M&A",2014/9/3,"AP Vos Seuns Pty Ltd","DLC Holdings Corp",693.74,"Pending","Consumer Staples","Financials",,,,200.77
"AST",2016/8/11,"4 infrastructure assets/Aveng Ltd","Royal Bafokeng Holdings Pty Ltd",860.00,"Pending","Industrials","Financials",,,,
"AST",2022/8/12,"K12 courseware business/PEARSON PLC,TVET courseware business/PEARSON PLC,Local Higher Education Courseware business/PEARSON PLC","Novus Holdings Ltd",1041.18,"Pending","Consumer Discretionary, Consumer Discretionary, Consumer Discretionary","Industrials",,4194.86,,3920.17
"AST",2015/8/24,"Portside units","Accelerate Property Fund Ltd",840.00,"Pending","Real Estate","Real Estate",,678.938,,6843.37
"M&A",2019/9/27,"Everest FlexibLes Pty Ltd","Huhtamaki Oyj",963.57,"Pending","Industrials","Materials",,79946.2,,88774.3
"M&A",2024/2/29,"Building Co Pty Ltd/The","Management Group,CapitalWorks LLC (Fund: CapitalWorks Fund IV LP)",1200.00,"Pending","Consumer Discretionary","Financials",,,,
"INV",2014/5/13,"Sunwest International Pty Ltd,Worcester Casino Pty Ltd","Tsogo Sun Limited",635.00,"Pending","Consumer Discretionary, Consumer Discretionary","Consumer Discretionary",,10841,,14695
"AST",2024/4/2,"13 predominantly industrial & office properties/Bryanston","Spear REIT Ltd",1146.01,"Pending","Real Estate","Real Estate",,853.197,,7584.07
"M&A",2025/7/3,"Bank Zero","Lesaka Technologies Inc",1068.34,"Pending","Financials","Financials",,11987.1,,11585.4
"M&A",2026/2/18,"Pay at Holdings Pty Ltd","Araxi Ltd",975.01,"Pending","Technology","Financials",,1166.16,,1828.16
"INV",2015/11/5,"CITICC Africa Holding Ltd","Surbana Jurong Pte Ltd",834.43,"Pending","Financials","Industrials",,,,
"M&A",2020/8/21,"Kathea Communication Solutions Pty Ltd","Ayo Technology Solutions Ltd",1025.79,"Pending","Communications","Technology",,1879.84,,2019.68
"M&A",2025/9/8,"Spar Holding AG/Switzerland","Tannenwald Holding AG",1023.98,"Pending","Consumer Staples","Financials",,,,
"AST",2026/5/21,"Portfolio of 3 office buildings/Tygervalley","Spear REIT Ltd",960.00,"Pending","Real Estate","Real Estate",,853.197,,7584.07
"M&A",2023/6/6,"Morgan Cargo Pty Ltd","Kuehne + Nagel International AG",1107.38,"Pending","Financials","Industrials",,527510,,249015
"AST",2025/12/3,"1141 sea point west/Cape Town","Future Indefinite Investments 180",943.01,"Pending","Financials","Real Estate",,,,
"M&A",2021/5/12,"Avima Pty Ltd,Ascendis Biosciences East Africa Ltd,Klub M5 Pty Ltd,Ortus Chemicals Pty Ltd","Agricultural Biosciences Pty Ltd",770.19,"Pending","Materials, Health Care, Financials, Materials","Health Care",,,,
"M&A",2024/7/15,"Sappi Lanaken NV","UTB Industrial Acquisitions BV",993.66,"Pending","Materials","Real Estate",1.22595,,3005,
"AST",2022/8/15,"Wind & solar powered assets","Seriti Resources Holdings Proprietary Ltd",892.00,"Pending","Consumer Discretionary","Materials",,,,
"AST",2022/2/24,"Immovable property/South Africa","enX Group Ltd",839.00,"Pending","Industrials","Industrials",,378.355,,1554.24
"AST",2015/10/19,"Residential Property Portfolio/South Africa","Indluplace Properties Ltd",707.00,"Pending","Real Estate","Real Estate",,583.693,,3524.46
"M&A",2021/7/19,"Ascendis Vet Pty Ltd,Ascendis Animal Health Pty Ltd,Kyron Prescriptions Pty Ltd","Sun Valley Estates Pty Ltd",770.18,"Pending","Health Care, Health Care, Health Care","Financials",,,,
"INV",2016/10/11,"Grinaker-LTA International Holdings Ltd","Kutana Investment Group",756.01,"Pending","Industrials","Financials",,,,
"AST",2014/3/3,"Property at 233 Barbara Road Elandsfontein","Fountainhead Property Trust",570.70,"Pending","N.A.","Real Estate",,1282.03,,12601.5
"AST",2019/2/20,"Portfolio of 7 office buildings","Fortune Capital Pty Ltd",696.33,"Pending","Real Estate","Real Estate",,,,
"AST",2019/2/13,"SALU Building","Narefin Proprietary Ltd",695.00,"Pending","Real Estate","Financials",,,,
"AST",2019/5/15,"Emerald Resort & Casino","Mineworkers Investment Co",696.62,"Pending","Consumer Discretionary","Financials",,2540.4,,9932.2
"AST",2026/3/11,"Kalahari Mall/Upington","NAD Property Income Fund Pty Ltd",800.00,"Pending","Real Estate","Financials",,,,
"M&A",2025/4/15,"NMS Insurance Services SA Ltd","Santam Ltd",925.00,"Pending","Financials","Financials",,50952,,82392
"M&A",2025/11/21,"Ladismith Cheese Co Pty Ltd","Woodlands Dairy Pty Ltd",840.00,"Pending","Consumer Staples","Consumer Staples",,,,
"AST",2019/11/28,"Portfolio of 9 rental enterprises","AWCA Investment Holdings",700.00,"Pending","Real Estate","Financials",,,,
"M&A",2024/6/11,"Thibault REIT Ltd","Heriot Reit Ltd",866.99,"Pending","Real Estate","Real Estate",,1750.07,,13608.1
"M&A",2003/2/26,"Redwood Holding SA","Circumference Investments Pty Ltd",378.90,"Pending","Consumer Discretionary","Financials",4.17913,,110.599,
"M&A",2021/9/30,"EIE Group Pty Ltd","Cfao Holdings South Africa Pty Ltd",700.00,"Pending","Industrials","Consumer Discretionary",,,,
"M&A",2024/12/23,"Cilo Cybin Pharmaceutical Pty Ltd","Cilo Cybin Holdings Ltd",844.99,"Pending","Consumer Staples","Financials",,,,0.01
"M&A",2018/8/27,"Moolgem Pty Ltd","Fairvest Ltd",628.56,"Pending","Real Estate","Real Estate",,2182.11,,15864
"M&A",2020/6/26,"HCI Invest6 Holdco Proprietary Ltd","Hosken Consolidated Investments Ltd",767.65,"Pending","Financials","Consumer Discretionary",,24172.5,,64182
"INV",2024/12/9,"Sturdee Energy Pty Ltd","Swedfund International AB,Investment Fund for Developing Countries (Fund: Danish SDG Investment Fund II)",780.43,"Pending","Energy","Financials, Financials",,,,
"AST",2018/12/3,"189 Schoeman street/Pretoria,28 Harrison Street/Marshalls Town","Endless Fortune Pty Ltd",588.84,"Pending","Real Estate, Real Estate","Financials",,,,
"AST",2019/11/7,"Simplot Seafood - Snacks & Meals division","JR Simplot Co",627.83,"Pending","Industrials","Consumer Staples",,,,
"AST",2014/11/20,"Portfolio of 6 buildings","Accelerate Property Fund Ltd",468.00,"Pending","N.A.","Real Estate",,678.938,,6843.37
"AST",2024/10/30,"Fiber assets/Remgro Ltd","Vodacom Group Ltd",745.00,"Pending","Consumer Discretionary","Communications",,167652,,276433
"M&A",2014/3/3,"AFHCO Holdings Pty Ltd","SA Corporate Real Estate Ltd",440.00,"Pending","Real Estate","Real Estate",,2922.45,,21463.5
"AST",2018/12/3,"Surrey House/Johannesburg,Game Building/Johannesburg,Bathopele Building/Johannesburg","Lunar Stone Trading Pty Ltd",551.45,"Pending","Real Estate, Real Estate","Real Estate",,,,
"AST",2022/7/29,"Pan Africa shopping centre/Alexandra Johannesburg","Vukile Property Fund Ltd",668.88,"Pending","Real Estate","Real Estate",,5890,,64436
"M&A",2018/10/9,"Activo Health Pty Ltd","AfroCentric Investment Corp Ltd",588.00,"Pending","Health Care","Health Care",,7358.39,,4180.45
"AST",2026/3/23,"Certain South African assets/Vantage Goldfields Ltd","Lions Bay Capital Inc",671.30,"Pending","Industrials","Financials",,,,36.8994
"AST",2014/8/22,"6 retail properties South Africa","Dipula Properties Ltd",425.00,"Pending","N.A.","Real Estate",,1522.33,,11219.6
"AST",2015/7/8,"2 Properties in Gauteng","Rebosis Property Fund Ltd",495.00,"Pending","Real Estate","Real Estate",,1666.66,,13512.2
"AST",2025/1/20,"Trading assets & liabilities/Isotec","Hudaco Industries Ltd",708.99,"Pending","Consumer Staples","Consumer Discretionary",,8748.36,,6727.25
"M&A",2024/10/21,"Workforce Holdings Ltd","Force Holdings Pty Ltd/South Africa",670.53,"Pending","Industrials","Financials",4504.61,,1586.91,
"M&A",2024/3/22,"Nutun Australia Holdings 2 Pty Ltd","Dove Bidco Pty Ltd",722.51,"Pending","Financials","Financials",,,,
"M&A",2016/5/23,"Billion Asset Managers Proprietary Ltd,Billion Property Services Pty Ltd","Rebosis Property Fund Ltd",589.00,"Pending","Financials, Real Estate","Real Estate",,1666.66,,13512.2
"INV",2018/5/15,"Rondebosch Medical Centre Pty Ltd","RH Bophelo Ltd",469.21,"Pending","Health Care","Financials",,,,1258.64
"M&A",2019/9/26,"Atalian Espaces Verts SASU","MBO & Co SAS",558.06,"Pending","Industrials","Financials",,,,
"M&A",2017/10/16,"Tecsa Pty Ltd","Beijer Ref AB",492.55,"Pending","Consumer Discretionary","Industrials",,67658.6,,79969.5
"INV",2019/4/4,"Catoca Mining Co Ltd","Alrosa PJSC,Endiama EP",512.57,"Pending","Financials","Materials, Materials",,,,
"AST",2026/1/8,"Whale Coast Village Mall/Hermanus","Whale Coast Capital Investments Pty Ltd,Whale Coast Village Mall Pty Ltd",600.00,"Pending","Real Estate","Financials, Financials",,,,
"M&A",2019/9/26,"3G Mobile Pty Ltd","Lesaka Technologies Inc",544.00,"Pending","Consumer Discretionary","Financials",,11987.1,,11585.4
"M&A",2022/2/1,"Scientific Group Pty Ltd/The,Surgical Innovations Pty Ltd","Apex Management Services Pty Ltd",550.00,"Pending","Health Care, Health Care","Financials",,,,
"M&A",2021/5/3,"PPC Lime Ltd","Kgatelopele Lime Pty Ltd",515.00,"Pending","Materials","Financials",,,,
"AST",2019/5/13,"Mdantsane City Shopping Centre","Vukile Property Fund Ltd",512.22,"Pending","Real Estate","Real Estate",,5890,,64436
"AST",2016/5/26,"Shanduka Gold Pty Ltd","Pan African Resources PLC",545.60,"Pending","N.A.","Materials",,9812.67,,17802.4
"M&A",2019/1/17,"Sky Sands Pty Ltd,Everite Pty Ltd","Trinitas Private Equity Fund,Agile Capital Pty Ltd",480.00,"Pending","Industrials, Industrials","Financials, Financials",,,,
"AST",2019/8/2,"Grand Central Building/Cape Town","Dalopix Pty Ltd",510.00,"Pending","Real Estate","Real Estate",,,,
"AST",2018/8/6,"Simba distribution centre/ZA","Equites Property Fund Ltd",461.93,"Pending","Real Estate","Real Estate",,3153.59,,31400.3
"AST",2015/6/8,"Residential property portfolio/Connaught Properties Pty Ltd","Arrowhead Properties Ltd/Old",420.00,"Pending","N.A.","Real Estate",,2222.09,,14434.1
"AST",2024/11/20,"Baby wellbeing business/Tiger Brands Ltd","Amka Products Pty Ltd",605.00,"Pending","Consumer Discretionary","Consumer Staples",,,,
"M&A",2020/2/25,"Sebata Municipal Solutions Pty Ltd,Rdata Pty Ltd,MICROmega Accounting & Professional Services Pty Ltd","Inzalo Investment Holdings Pty Ltd",501.90,"Pending","Technology, Technology, Industrials","Technology",,,,
"INV",2020/1/28,"ARISE Port & Logistics","AP Moeller Capital P/S",452.17,"Pending","Industrials","Financials",,,,
"INV",2025/3/4,"Pele Energy Group RF Pty Ltd","Nedbank Group Ltd,Norfund AS",575.44,"Pending","Energy","Financials, Financials",,,,
"INV",2024/12/5,"Anglo American Minerio de Ferro Brasil S/A","Vale SA",541.60,"Pending","Materials","Materials",,683441,,1.42995e+06
"INV",2020/10/12,"RSAWeb Pty Ltd","Actis LLP",493.00,"Pending","Technology","Financials",,,,
"INV",2015/12/9,"Supabets SA Holdings Pty Ltd","Phumelela Gaming & Leisure Ltd",434.68,"Pending","Consumer Discretionary","Consumer Discretionary",,1066.91,,1591.6
"M&A",2016/9/6,"ConnectNet Broadband Wireless Pty Ltd","Huge Group Ltd",417.90,"Pending","Technology","Communications",,28.651,,1973.43
"M&A",2003/3/27,"Xerox South Africa Ltd","Bytes Technology Group Ltd/South Africa",235.36,"Pending","Technology","Technology",,,,
"M&A",2014/1/15,"Gillwell Taxi Retail Park Pty Ltd","Dipula Properties Ltd",316.12,"Pending","Real Estate","Real Estate",,1522.33,,11219.6
"AST",2021/5/31,"Diversified plant assets & mining right","WMA Chrome Mining Pty Ltd,WMA Minmet Processing Pty Ltd",400.00,"Pending","Materials","Financials, Financials",,,,
"AST",2023/11/6,"Eden Meander shopping center/George Township","Sasol Ltd,Luvon Investments Pty Ltd,Litapro Pty Ltd",530.86,"Pending","Real Estate","Materials, Financials, Financials",,,,
"AST",2025/3/5,"Molware/Kosmosdal,Urban Ridge East/Johannesburg,Urban Ridge West/Johannesburg,Urban Ridge South/Johannesburg","Private Investor",530.00,"Pending","Real Estate, Real Estate, Real Estate, Real Estate","N.A.",,,,
"AST",2015/3/2,"Limpopo & Umzimkhulu rental enterprises","Dipula Properties Ltd",336.00,"Pending","N.A.","Real Estate",,1522.33,,11219.6
"M&A",2024/8/14,"Accsys Pty Ltd,Nutun Credit Health Pty Ltd,Nutun Transact Pty Ltd","Q Link Holdings Pty Ltd",510.00,"Pending","Technology, Health Care, Industrials","Technology",,,,
"AST",2024/12/9,"Beatrix 4 shaft/Beisa","NEO ENERGY METALS PLC",500.00,"Pending","Materials","Financials",,,,461.669
"AST",2015/10/8,"Truworths & Grid properties","Texton Property Fund Ltd",375.39,"Pending","N.A.","Real Estate",,278.371,,2473.35
"AST",2001/4/19,"Ppty portfolio","Sycom Property Fund",223.83,"Pending","N.A.","Real Estate",,915.74,,9272.69
"M&A",2017/8/23,"Inhle Beverages Pty Ltd","Long4Life Ltd",360.00,"Pending","Consumer Staples","Consumer Discretionary",,3582.54,,5721.8
"AST",2026/4/17,"Erf 62063 Mitchells plain/Cape Town","Spear REIT Ltd",442.00,"Pending","Real Estate","Real Estate",,853.197,,7584.07
"INV",2025/11/7,"Atlas Tower","STOA Infra & Energy SAS",467.11,"Pending","Communications","Financials",,,,
"M&A",2014/10/27,"Scientific Group Pty Ltd/The","Coast 2 coast Investments LLC",283.73,"Pending","Health Care","Financials",,,,
"AST",2025/7/28,"Remainder Erf 92089/Cape Town,Remainder Erf 67925/Cape Town,Erf 92087/Cape Town,Remainder Erf 67958/Cape Town,Remainder Erf 67947/Cape Town,Remainder Erf 67960/ Cape Town,Remainder Erf 67959/Cape Town,Remainder Erf 67948/Cape Town,Remainder Erf 67949/Cape Town,Remainder Erf 67957/Cape Town","Spear REIT Ltd",455.00,"Pending","Real Estate, Real Estate, Real Estate, Real Estate, Real Estate, Real Estate, Consumer Discretionary, Real Estate, Real Estate, Real Estate","Real Estate",,853.197,,7584.07
"AST",2019/11/1,"Liberty Life Building/The","Spear REIT Ltd",370.00,"Pending","Real Estate","Real Estate",,853.197,,7584.07
"INV",2021/6/8,"Sybrin Systems Pty Ltd,Sybrin Ltd","K2020893770 South Africa Pty Ltd",334.35,"Pending","Financials, Technology","Technology",,,,
"M&A",2015/11/19,"Akacia Healthcare Holdings Pty Ltd","Ascendis Health Ltd",345.24,"Pending","Health Care","Health Care",,,,777.442
"M&A",2022/2/1,"Medicine Developers International Pty Ltd,Pharmachem Pharmaceuticals Pty Ltd,Alliance Pharma Pty Ltd,Ascendis Pharma Pty Ltd","Imperial Logistics Ltd,Pharma-Q Holdings Pty Ltd",375.00,"Pending","Health Care, Health Care, Health Care, Health Care","Industrials, Health Care",,,,
"M&A",2019/12/9,"Ubusha Technologies Pty Ltd","Altron Ltd",360.00,"Pending","Technology","Technology",,9637,,9648
"AST",2016/5/6,"Eden Meander Lifestyle Centre","Accelerate Property Fund Ltd",364.92,"Pending","Real Estate","Real Estate",,678.938,,6843.37
"M&A",2020/2/28,"Raubex Property Investments Pty Ltd","Acorn Black Investments Pty Ltd",383.00,"Pending","Financials","Financials",,,,
"M&A",2020/2/28,"African Phoenix Investments Ltd","Peresec Prime Brokers Pty Ltd",379.87,"Pending","Financials","Financials",102.993,,1400.32,
"M&A",2017/10/13,"Milpark Education Proprietary Ltd","Brimstone Investment Corp Ltd,Stadio Holdings Ltd",320.00,"Pending","Consumer Discretionary","Consumer Staples, Financials",,,,
"AST",2015/3/6,"Portfolio of events","Hyve Group PLC",290.41,"Pending","N.A.","Industrials",,,,19408
"M&A",2024/3/26,"Nampak Packaging Malawi Ltd,Nampak Liquid Cartons Pty Ltd,Nampak Zambia Ltd","Corvest 15 Pty Ltd,Diversified Liquid Packaging Group Pty Ltd,Liquid Cartons Pty Ltd",450.00,"Pending","Materials, Industrials, Materials","Financials, Materials, Materials",,,,
"M&A",2017/10/19,"United Furniture Outlets Pty Ltd","Lewis Group Ltd",320.00,"Pending","Consumer Discretionary","Consumer Discretionary",,10319.9,,9159.1
"M&A",2025/12/8,"Walletdoc Holdings Pty Ltd","Capitec Bank Holdings Ltd",399.99,"Pending","Financials","Financials",,61650.7,,263284
"AST",2016/5/27,"Portfolio of 6 prime offices/South Africa","Texton Property Fund Ltd",363.00,"Pending","Real Estate","Real Estate",,278.371,,2473.35
"M&A",2023/2/3,"BrightRock Holdings Pty Ltd","Sanlam Ltd",399.00,"Pending","Financials","Financials",,237116,,1.2957e+06
"M&A",2017/8/21,"Infinity Media Networks Pty Ltd","Management Group,Lodidox",300.00,"Pending","Communications","Financials",,,,
"AST",2025/5/9,"Roodekop properties/Gauteng","Trident Property Holdings Pty Ltd",415.00,"Pending","Real Estate","Financials",,,,
"AST",2021/12/17,"Foretrust property/South Africa","Stonehill Property Group Ltd",360.00,"Pending","Real Estate","Real Estate",,,,
"INV",2021/4/28,"Exeltis South Africa Proprietary Ltd","AfroCentric Investment Corp Ltd",320.00,"Pending","Consumer Discretionary","Consumer Staples",,7358.39,,4180.45
"AST",2014/9/22,"Mooiplaats Coal Mine","Blackspear Holdings Pty Ltd",250.00,"Pending","Materials","Materials",,,,
"M&A",2015/4/2,"Vijay Mallya's traditional sorghum beer co","Diageo PLC",263.08,"Pending","N.A.","Consumer Staples",,332016,,768103
"AST",2017/4/11,"Portfolio of hotel assets/South Africa","Hospitality Property Fund Ltd",301.55,"Pending","Real Estate","Real Estate",,6047,,13674
"M&A",2020/6/22,"Tambankulu Estates Ltd","Public Service Pensions Fund/Swaziland",375.00,"Pending","Consumer Staples","Government",,,,
"M&A",2019/11/8,"Koornfontein Coal Mine","Black Royalty Minerals Pty Ltd",300.00,"Pending","Materials","Materials",,,,
