Action ID,Deal Type,Announce Date,Deal Status,Deal Attributes,Deal Description,Currency of Deal,Payment Type,Completion/Termination Date,Announced Premium,Percent Owned,Percent Sought,Has Contingency Payment,Target Industry Sector,Acquirer Industry Sector,Adviser Fees Disclosed,Acquirer Legal Adviser,Acquirer Financial Adviser,Nature of Bid,Target Country/Region,Acquirer Country/Region,Target Total Assets Source,Acquirer Total Assets Source,Target Revenue Source,Acquirer Revenue Source,Target Total Assets,Target Revenue,Acquirer Total Assets,Acquirer Revenue,Regime No.,Regime Start,Regime End,Intermediate Combined (R'm),Intermediate Target (R'm),Large Combined (R'm),Large Target (R'm),CPI Index (Dec 2024=100),CPI YoY %,Nominal GDP (R million),"Real GDP (R million, 2015 prices)","GDP Deflator (Index, 2015=100)",GDP Deflator YoY %,Market Capitalisation (R million),Classification,Year,Data Completeness,"Combined Limb Value (best of 4 routes, R'm)","Target Limb Value (max of assets/turnover, R'm)",Ownership Type,Attr: Company Takeover,Attr: Additional Stake Purchase,Attr: Cross Border,Attr: Minority Purchase,Attr: Tender Offer,Attr: Majority Purchase,Attr: Private Equity,Attr: Mandatory Offer,Attr: Private Placement,Attr: Squeeze Out,Attr: PE Buyout,Attr: Competing Bid,Attr: PE Seller,Attr: Option Agreement,Attr: Going Private,Attr: PE Exit,Attr: Government Privatization,Attr: Reverse Merger,Attr: Recapitalization,Attr: Asset Sale,Attr: Bankruptcy/Liquidation,Attr: Private Equity Related,Attr: Any Stake-Change Type Tagged,Attr: Formal Offer Process (Tender/Mandatory/Squeeze Out)
71072841,INV,2012/11/23,Completed,"Private Equity, Minority Purchase",Tiso Blackstar Group SE sold a minority stake in New Bond Capital Ltd to FirstRand Ltd. The transaction was completed on 11/23/2012.,ZAR,Cash,2012/11/23,,0.000000,28.299999,No,Financials,Financials,N,,,Friendly,South Africa,South Africa,Point-in-time,Point-in-time,Missing,Point-in-time,2766.146,,697927.0,67752.0,3,2009-04-01,2017-09-30,560,80,6600,190,54.3916666666667,5.66666666666667,3566385.0,4197952.4,84.9553463255086,4.68520499377743,8383564.0,Large,2012,Partial (3/4),700693.146,2766.146,Public,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
71188805,M&A,2012/11/28,Terminated,"Company Takeover, Cross Border",Sedgman Pty Ltd announced the acquisition of MDM Engineering Group Ltd for AUD 77.09M. The transaction was announced on 11/28/2012 and terminated on 5/30/2013.,AUD,Cash and Stock,2013/5/30,,0.000000,100.000000,No,Industrials,Industrials,N,Norton Rose Llp,,Friendly,South Africa,Australia,Point-in-time,Point-in-time,Point-in-time,Point-in-time,25.498093,20.805179,298.677,507.704,3,2009-04-01,2017-09-30,560,80,6600,190,54.3916666666667,5.66666666666667,3566385.0,4197952.4,84.9553463255086,4.68520499377743,8383564.0,Small,2012,Full (4/4),533.202093,25.498093,Public,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71209491,M&A,2012/11/28,Completed,"Company Takeover, Additional Stake Purchase",Bidvest Group Ltd/The acquired Home of Living Brands Holdings Ltd for ZAR 355.41M. The transaction was announced on 11/28/2012 and completed on 7/2/2013.,ZAR,Cash,2013/7/2,26.65,27.570000,72.430000,No,Consumer Discretionary,Consumer Staples,N,,,Friendly,South Africa,South Africa,Point-in-time,Point-in-time,Point-in-time,Point-in-time,653.224,826.423,47829.918,118482.736,3,2009-04-01,2017-09-30,560,80,6600,190,54.3916666666667,5.66666666666667,3566385.0,4197952.4,84.9553463255086,4.68520499377743,8383564.0,Large,2012,Full (4/4),119309.159,826.423,Public,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
71483253,M&A,2012/12/4,Completed,Company Takeover,JD Group Ltd/South Africa acquired Hardware Warehouse Ltd for ZAR 109.36M. The transaction was announced on 12/4/2012 and completed on 2/26/2013.,ZAR,Cash,2013/2/26,21.02,0.000000,100.000000,No,Materials,Consumer Discretionary,N,Girard Hayward,,Friendly,South Africa,South Africa,Point-in-time,Point-in-time,Point-in-time,Point-in-time,117.359,354.177,16734.0,15741.0,3,2009-04-01,2017-09-30,560,80,6600,190,54.3916666666667,5.66666666666667,3566385.0,4197952.4,84.9553463255086,4.68520499377743,8383564.0,Large,2012,Full (4/4),17088.177,354.177,Public,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71519975,M&A,2012/12/3,Terminated,Company Takeover,Bidvest Group Ltd/The announced the acquisition of Brandcorp Holdings Ltd. The transaction was announced on 12/3/2012 and terminated on 3/6/2013. Financial terms of the transaction are undisclosed.,ZAR,Undisclosed,2013/3/6,,0.000000,100.000000,No,Consumer Discretionary,Consumer Staples,N,,,Friendly,South Africa,South Africa,MA-screen (current/latest),Point-in-time,MA-screen (current/latest),Point-in-time,483.978,916.249,47829.918,118482.736,3,2009-04-01,2017-09-30,560,80,6600,190,54.3916666666667,5.66666666666667,3566385.0,4197952.4,84.9553463255086,4.68520499377743,8383564.0,Large,2012,Full (4/4),119398.985,916.249,Public,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71550925,M&A,2012/12/5,Terminated,"Company Takeover, Additional Stake Purchase",eXtract Group Ltd announced the acquisition of Protech Khuthele Holdings Ltd for ZAR 268.14M. The transaction was announced on 12/5/2012 and terminated on 7/31/2013.,ZAR,Cash,2013/7/31,25.52,32.799999,67.199997,No,Industrials,Industrials,N,,,Unsolicited,South Africa,South Africa,Point-in-time,Point-in-time,Point-in-time,Point-in-time,853.877,1069.665,10641.0,6903.0,3,2009-04-01,2017-09-30,560,80,6600,190,54.3916666666667,5.66666666666667,3566385.0,4197952.4,84.9553463255086,4.68520499377743,8383564.0,Large,2012,Full (4/4),11710.665,1069.665,Public,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
7253349,M&A,2001/8/31,Completed,"Company Takeover, Additional Stake Purchase",Netcare Ltd acquired Clinic Holdings Ltd for ZAR 201.24M. The transaction was announced on 8/31/2001 and completed on 10/22/2001.,ZAR,Stock,2001/10/22,-0.41,92.599998,7.400000,No,Health Care,Health Care,N,,,Friendly,South Africa,South Africa,Point-in-time,Point-in-time,Point-in-time,Point-in-time,2942.6,2818.4,3235.199951,2848.800049,2,2001-02-01,2009-03-31,200,30,3500,100,29.15,5.725,1165940.6,2903049.5,40.1626152085936,7.80047907381016,1770682.0,Large,2001,Full (4/4),6177.799951,2942.6,Public,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
73463146,M&A,2013/1/24,Completed,"Cross Border, Private Equity, Majority Purchase, PE Seller",Brockton Capital LLP sold General Healthcare Group Ltd to Netcare Ltd for GBP 11.00M. The transaction was completed on 1/24/2013.,GBP,Cash,2013/1/24,,0.000000,53.720001,No,Health Care,Health Care,N,,,Friendly,South Africa,South Africa,Point-in-time,Point-in-time,Missing,Point-in-time,418.748,,44222.0,25174.0,3,2009-04-01,2017-09-30,560,80,6600,190,57.5166666666667,5.75833333333333,3868630.2,4302291.2,89.920231340919,5.84411132453906,10626244.0,Large,2013,Partial (3/4),44640.748,418.748,Private,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
7348736,M&A,2001/11/13,Completed,"Company Takeover, Additional Stake Purchase",BOE Ltd acquired Monex Ltd for ZAR 95.18M. The transaction was announced on 11/13/2001 and completed on 2/4/2002.,ZAR,Cash,2002/2/4,28.21,74.000000,26.000000,No,Consumer Discretionary,Financials,N,,BOE Investment/KPMG Corp Fin,Friendly,South Africa,South Africa,Point-in-time,Point-in-time,Point-in-time,Point-in-time,857.377,248.08,62462.0,7793.0,2,2001-02-01,2009-03-31,200,30,3500,100,29.15,5.725,1165940.6,2903049.5,40.1626152085936,7.80047907381016,1770682.0,Large,2001,Full (4/4),63319.377,857.377,Public,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
7359628,M&A,2001/11/15,Completed,"Company Takeover, Additional Stake Purchase",Bidvest Group Ltd/The acquired Voltex Holdings Pty Ltd for ZAR 147.79M. The transaction was announced on 11/15/2001 and completed on 3/22/2002.,ZAR,Cash,2002/3/22,63.74,32.000000,68.000000,No,Industrials,Consumer Staples,N,,,Friendly,South Africa,South Africa,Point-in-time,Point-in-time,Point-in-time,Point-in-time,786.818,1352.507,8109.428223,26427.619141,2,2001-02-01,2009-03-31,200,30,3500,100,29.15,5.725,1165940.6,2903049.5,40.1626152085936,7.80047907381016,1770682.0,Large,2001,Full (4/4),27780.126141,1352.507,Public,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
